Filename,Class,Functional_Margin,Source,File_Path,Feature_1,Feature_2,Scaled_Feature_1,Scaled_Feature_2
f43cffa7-756c-40c1-ad67-8924692019a1___RS_HL 6187.JPG,healthy,1.5861177523864396,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/healthy/f43cffa7-756c-40c1-ad67-8924692019a1___RS_HL 6187.JPG,7.935277195483369,5.393205366965622,1.6318860534073263,-1.95452437864597
c870969d-cf55-467f-85fe-f9752cb76ec6___RS_HL 6323.JPG,healthy,1.5300713498172298,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/c870969d-cf55-467f-85fe-f9752cb76ec6___RS_HL 6323.JPG,7.879833940150793,5.446531533517287,1.4318745611877397,-1.9266257287386015
fc90f3d6-25bc-445e-b418-a5df46878d67___RS_HL 5767.JPG,healthy,1.4527967431867665,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/healthy/fc90f3d6-25bc-445e-b418-a5df46878d67___RS_HL 5767.JPG,7.703453671152248,5.254030911670865,0.7955829042697637,-2.0273362767327265
b3731461-8db1-42f5-9976-5f3b8b72935b___RS_HL 5973.JPG,healthy,1.4477376084062494,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/b3731461-8db1-42f5-9976-5f3b8b72935b___RS_HL 5973.JPG,7.870404375451325,5.716575463021389,1.3978574152750667,-1.7853468494187081
3d2a5995-d293-471e-bcd3-862a8850d78d___RS_HL 5773.JPG,healthy,1.4103254324551107,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/3d2a5995-d293-471e-bcd3-862a8850d78d___RS_HL 5773.JPG,7.917203352532403,5.9752631864572985,1.5666846817151197,-1.6500091962896288
41969f52-e194-401e-a55b-4ff88f740a8a___RS_HL 6125.JPG,healthy,1.3772675120919002,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/healthy/41969f52-e194-401e-a55b-4ff88f740a8a___RS_HL 6125.JPG,7.615087504720857,5.289559804092937,0.4768020407788298,-2.008748626515649
fac07867-acdd-4a19-8be5-987958575af0___RS_HL 5972.JPG,healthy,1.357555654316601,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/fac07867-acdd-4a19-8be5-987958575af0___RS_HL 5972.JPG,7.549312446041599,5.185133853775162,0.23951857756306882,-2.0633811496755
11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,healthy,1.3094052724156882,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/healthy/11beda66-01e9-4bfd-be37-c0f8646d1478___RS_HL 6271.JPG,7.679370783787031,5.703944695676846,0.7087039104231835,-1.791954887816995
36980863-22cb-4e05-a1f6-53039a89993a___RS_HL 5934.JPG,healthy,1.223791223434132,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/36980863-22cb-4e05-a1f6-53039a89993a___RS_HL 5934.JPG,7.756704652011884,6.216704703110923,0.9876857683603293,-1.5236942409534406
d321145e-6ab0-4ad2-8109-f34ee4389149___RS_HL 7848.JPG,healthy,1.2159975463810846,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/healthy/d321145e-6ab0-4ad2-8109-f34ee4389149___RS_HL 7848.JPG,7.830314508043213,6.440586286680273,1.2532332557612853,-1.4065661155957467
15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,apple scab,1.5767169546388242,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/apple scab/15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG,7.481380432679786,15.52289428149377,-0.005546097670636116,3.3450248477769917
b67039ac-fa02-4db5-9aad-a429c329263f___FREC_Scab 3435.JPG,apple scab,1.4462573098506506,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/apple scab/b67039ac-fa02-4db5-9aad-a429c329263f___FREC_Scab 3435.JPG,6.74713784595178,13.100738306117028,-2.6543255486916397,2.0778255355480146
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,apple scab,1.4280438904261197,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/apple scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,7.371496716578646,14.697439424730595,-0.40195150164966964,2.9131716403865524
bc93b0fd-568f-4969-9d2d-c94d5f340e7e___FREC_Scab 3357.JPG,apple scab,1.221482481277584,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/apple scab/bc93b0fd-568f-4969-9d2d-c94d5f340e7e___FREC_Scab 3357.JPG,7.186697618129675,13.46505167128384,-1.0686140780062892,2.2684233543789847
45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG,apple scab,1.2032288134420455,Test,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple_test/apple scab/45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG,7.390368905058564,13.941773140348374,-0.3338700992017896,2.517829719561311
45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG,apple scab,1.2032288134420455,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/apple scab/45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG,7.390368905058564,13.941773140348374,-0.3338700992017896,2.517829719561311
7ead14ac-9bdd-42a9-bde9-b70d8b6694b7___FREC_Scab 3356.JPG,apple scab,1.1189477840954019,Train,/home/efrosine/Desktop/project/svm/data/dataset/apple_disease/apple/apple scab/7ead14ac-9bdd-42a9-bde9-b70d8b6694b7___FREC_Scab 3356.JPG,6.66108574493917,11.698356846506904,-2.964758423329326,1.3441416443509542
